ferme_id,producteur_nom,coop_id,village,departement,region,surface_ha,annee_installation
1,Ismaël Yao,68,Sassandra,San-Pédro,Bas-Sassandra,1.41,2007
2,Fatou Kouamé,15,Bingerville,Abidjan,Lagunes,6.46,1990
3,Adjoba Traoré,48,Oumé,Gagnoa,Fromager,0.77,1999
4,Aya Fofana,80,Issia,Daloa,Sassandra-Marahoué,1.06,1997
5,Ibrahim Dosso,43,Abidjan,Abidjan,Lagunes,1.07,2003
6,Moussa Kouassi,48,Agboville,Agboville,Agnéby-Tiassa,2.1,2003
7,Aya Yao,111,Man,Man,Montagnes,1.17,1999
8,Abdou Koné,102,Sassandra,San-Pédro,Bas-Sassandra,3.17,1998
9,Mariam Assé,63,San-Pédro,San-Pédro,Bas-Sassandra,1.58,2000
10,Gaston Touré,37,Lakota,Gagnoa,Gôh-Djiboua,8.75,2019
11,Adjoba Soro,91,Sassandra,San-Pédro,Bas-Sassandra,6.28,1994
12,Aya Yao,95,Anyama,Abidjan,Lagunes,2.41,2010
13,Ibrahim N’Guessan,103,Gagnoa,Gagnoa,Gôh-Djiboua,2.43,1995
14,Adjoba Yao,39,Tiassalé,Agboville,Agnéby-Tiassa,1.76,1990
15,Kouadio Diabaté,69,Ouragahio,Gagnoa,Fromager,2.13,2013
16,Kouakou Dosso,2,Gagnoa,Gagnoa,Gôh-Djiboua,1.41,1998
17,Aya Fofana,23,Daloa,Daloa,Sassandra-Marahoué,4.2,2001
18,Yacouba Touré,105,Oumé,Gagnoa,Fromager,5.48,2000
19,Kouakou Kouassi,11,Sassandra,San-Pédro,Bas-Sassandra,3.92,2016
20,Adjoba Bamba,108,Toumodi,Yamoussoukro,Lacs,1.26,2016
21,Yves Touré,114,Danané,Man,Montagnes,2.74,2012
22,Cédric Kouamé,50,Toumodi,Yamoussoukro,Lacs,2.04,2019
23,Cédric Touré,37,Abidjan,Abidjan,Lagunes,1.86,2002
24,Ibrahim Kouassi,12,Anyama,Abidjan,Lagunes,1.65,2012
25,Yao Koné,64,Issia,Daloa,Sassandra-Marahoué,3.72,2014
26,Aya N’Guessan,107,San-Pédro,San-Pédro,Bas-Sassandra,3.69,1990
27,Ibrahim Traoré,81,San-Pédro,San-Pédro,Bas-Sassandra,1.0,2012
28,Kouakou Touré,113,San-Pédro,San-Pédro,Bas-Sassandra,3.52,2014
29,Gaston Touré,60,Bingerville,Abidjan,Lagunes,2.41,1998
30,Kouadio Yao,81,Lakota,Gagnoa,Gôh-Djiboua,4.74,2017
31,Moussa Kouassi,47,Abidjan,Abidjan,Lagunes,2.46,1999
32,Abdou N’Guessan,18,Man,Man,Montagnes,1.55,2012
33,Kouadio Kouamé,78,Toumodi,Yamoussoukro,Lacs,2.74,2014
34,Aïcha Soro,19,Toumodi,Yamoussoukro,Lacs,2.42,2017
35,Yves Bamba,39,Yamoussoukro,Yamoussoukro,Lacs,5.14,1996
36,Kouadio Yao,10,Issia,Daloa,Sassandra-Marahoué,1.16,2003
37,Adjoba Bamba,43,Vavoua,Daloa,Sassandra-Marahoué,2.86,2005
38,Gaston Kacou,29,Tiassalé,Agboville,Agnéby-Tiassa,1.4,2019
39,Salimata Soro,40,Soubré,San-Pédro,Bas-Sassandra,3.03,2004
40,Yves Dosso,94,Oumé,Gagnoa,Fromager,0.94,1992
41,Moussa Koné,52,Tiassalé,Agboville,Agnéby-Tiassa,4.86,2004
42,Salimata Touré,94,Tiassalé,Agboville,Agnéby-Tiassa,2.67,2011
43,Adjoba Coulibaly,32,San-Pédro,San-Pédro,Bas-Sassandra,2.48,2013
44,Aristide Bamba,80,Soubré,San-Pédro,Bas-Sassandra,5.09,2002
45,Adjoba Soro,62,San-Pédro,San-Pédro,Bas-Sassandra,2.2,1992
46,Adjoba Soro,92,Abidjan,Abidjan,Lagunes,1.54,1995
47,Abdou Assé,20,Man,Man,Montagnes,5.48,2017
48,Kouadio Kouassi,118,Oumé,Gagnoa,Fromager,3.22,1997
49,Salimata Kouassi,86,Guiglo,Man,Montagnes,2.49,2014
50,Abdou Soro,44,Bingerville,Abidjan,Lagunes,1.63,2021
51,Aya Kouassi,92,Lakota,Gagnoa,Gôh-Djiboua,1.48,1991
52,Yao Fofana,75,San-Pédro,San-Pédro,Bas-Sassandra,2.68,1997
53,Kouadio Dosso,65,Toumodi,Yamoussoukro,Lacs,2.39,2001
54,Moussa Kouassi,93,Anyama,Abidjan,Lagunes,1.8,2012
55,Yves Soro,80,Daloa,Daloa,Sassandra-Marahoué,3.75,2010
56,Mariam Kacou,62,Toumodi,Yamoussoukro,Lacs,2.26,2007
57,Adjoba Kouamé,80,Lakota,Gagnoa,Gôh-Djiboua,3.01,2001
58,Gaston Koné,51,Sassandra,San-Pédro,Bas-Sassandra,3.9,2002
59,Ibrahim Assé,105,Divo,Gagnoa,Gôh-Djiboua,2.46,2017
60,Aristide Yao,25,Divo,Gagnoa,Gôh-Djiboua,3.51,2005
61,Fatou Fofana,68,Abidjan,Abidjan,Lagunes,1.82,2017
62,Yves Traoré,32,Oumé,Gagnoa,Fromager,0.96,2018
63,Mariam Bamba,43,Man,Man,Montagnes,2.21,1995
64,Yves Diabaté,93,Bingerville,Abidjan,Lagunes,3.36,2020
65,Aminata Kouamé,67,Bingerville,Abidjan,Lagunes,5.0,1996
66,Aminata N’Guessan,25,Oumé,Gagnoa,Fromager,1.31,2008
67,Cédric Kacou,68,Man,Man,Montagnes,0.87,2001
68,Ibrahim Dosso,52,Anyama,Abidjan,Lagunes,3.68,1997
69,Ibrahim N’Guessan,99,Danané,Man,Montagnes,3.58,1996
70,Kouakou Dosso,91,Sassandra,San-Pédro,Bas-Sassandra,3.59,2007
71,Adjoba Bamba,33,Toumodi,Yamoussoukro,Lacs,0.62,1999
72,Salimata Diabaté,72,Agboville,Agboville,Agnéby-Tiassa,2.41,1991
73,Yves Kouassi,41,Danané,Man,Montagnes,2.81,1997
74,Koffi Soro,19,Lakota,Gagnoa,Gôh-Djiboua,3.39,1996
75,Abdou Fofana,66,Ouragahio,Gagnoa,Fromager,3.32,2018
76,Moussa Fofana,98,Issia,Daloa,Sassandra-Marahoué,2.25,2008
77,Yves Ouattara,53,Guiglo,Man,Montagnes,2.21,1992
78,Aya N’Guessan,113,Anyama,Abidjan,Lagunes,4.02,1997
79,Moussa Kacou,42,Lakota,Gagnoa,Gôh-Djiboua,2.8,2008
80,Didier Touré,21,Sassandra,San-Pédro,Bas-Sassandra,1.45,2021
81,Arnaud Kacou,65,Anyama,Abidjan,Lagunes,4.87,2021
82,Yves Bamba,83,Abidjan,Abidjan,Lagunes,4.5,2016
83,Aïcha Coulibaly,54,Sassandra,San-Pédro,Bas-Sassandra,3.34,1993
84,Salimata Assé,22,Toumodi,Yamoussoukro,Lacs,1.38,2008
85,Moussa Touré,98,San-Pédro,San-Pédro,Bas-Sassandra,7.1,2008
86,Aïcha Fofana,90,Anyama,Abidjan,Lagunes,2.48,2014
87,Kouadio Yao,78,Tiassalé,Agboville,Agnéby-Tiassa,1.87,2016
88,Koffi Fofana,47,San-Pédro,San-Pédro,Bas-Sassandra,1.31,2002
89,Ismaël Yao,88,Yamoussoukro,Yamoussoukro,Lacs,1.23,2008
90,Cédric Assé,24,Sassandra,San-Pédro,Bas-Sassandra,2.31,2008
91,Yacouba Kacou,54,Guiglo,Man,Montagnes,3.48,2009
92,Moussa Koné,114,Issia,Daloa,Sassandra-Marahoué,5.21,1995
93,Kouadio Bamba,117,Abidjan,Abidjan,Lagunes,0.81,1998
94,Aminata Assé,83,Oumé,Gagnoa,Fromager,1.65,2006
95,Fatou Touré,22,Soubré,San-Pédro,Bas-Sassandra,5.36,2008
96,Didier Coulibaly,97,Guiglo,Man,Montagnes,1.99,2013
97,Gaston Yao,81,Man,Man,Montagnes,3.58,2017
98,Didier Bamba,4,Toumodi,Yamoussoukro,Lacs,1.99,2011
99,Abdou Diabaté,111,Bingerville,Abidjan,Lagunes,5.66,2008
100,Yacouba Soro,38,Soubré,San-Pédro,Bas-Sassandra,5.81,1990
101,Aya Diabaté,53,Oumé,Gagnoa,Fromager,5.39,2020
102,Kouakou Dosso,44,Gagnoa,Gagnoa,Gôh-Djiboua,1.3,1997
103,Abdou Fofana,72,Guiglo,Man,Montagnes,3.08,1997
104,Ibrahim Bamba,109,Sassandra,San-Pédro,Bas-Sassandra,1.91,1998
105,Adjoba Diabaté,8,Divo,Gagnoa,Gôh-Djiboua,1.3,2006
106,Aristide Coulibaly,1,Sassandra,San-Pédro,Bas-Sassandra,3.94,1993
107,Moussa Yao,42,Danané,Man,Montagnes,0.72,2008
108,Yves Touré,38,Agboville,Agboville,Agnéby-Tiassa,4.09,2003
109,Abdou Ouattara,36,San-Pédro,San-Pédro,Bas-Sassandra,4.07,2012
110,Yao Koné,111,Tiassalé,Agboville,Agnéby-Tiassa,2.39,2008
111,Kouakou Kacou,98,Yamoussoukro,Yamoussoukro,Lacs,1.99,2010
112,Fatou Kouamé,12,Bingerville,Abidjan,Lagunes,2.82,1996
113,Ismaël Traoré,31,Ouragahio,Gagnoa,Fromager,5.35,2009
114,Ismaël Kacou,48,Yamoussoukro,Yamoussoukro,Lacs,1.2,2017
115,Yves Yao,105,Ouragahio,Gagnoa,Fromager,5.04,2002
116,Gaston Yao,51,Divo,Gagnoa,Gôh-Djiboua,2.42,2004
117,Aïcha Touré,55,Gagnoa,Gagnoa,Gôh-Djiboua,4.47,2017
118,Didier Kacou,81,Daloa,Daloa,Sassandra-Marahoué,1.3,2020
119,Mariam Diabaté,64,San-Pédro,San-Pédro,Bas-Sassandra,1.38,1990
120,Moussa Bamba,79,Abidjan,Abidjan,Lagunes,5.67,1995
121,Moussa Dosso,106,Tiassalé,Agboville,Agnéby-Tiassa,5.1,2008
122,Aminata Fofana,4,Issia,Daloa,Sassandra-Marahoué,1.85,2000
123,Mariam Kouassi,110,Anyama,Abidjan,Lagunes,1.92,2002
124,Didier Kouamé,105,Issia,Daloa,Sassandra-Marahoué,1.9,2004
125,Cédric Yao,107,Bingerville,Abidjan,Lagunes,10.12,2007
126,Adjoba Coulibaly,17,Agboville,Agboville,Agnéby-Tiassa,1.35,2004
127,Ibrahim Yao,61,Agboville,Agboville,Agnéby-Tiassa,1.24,2011
128,Adjoba Ouattara,41,Bingerville,Abidjan,Lagunes,0.92,2015
129,Yacouba Traoré,120,Guiglo,Man,Montagnes,3.57,2001
130,Yves Bamba,7,Tiassalé,Agboville,Agnéby-Tiassa,2.35,2018
131,Aristide Kouassi,117,Yamoussoukro,Yamoussoukro,Lacs,2.65,2015
132,Arnaud Soro,54,Ouragahio,Gagnoa,Fromager,0.79,2008
133,Kouadio Koné,26,Agboville,Agboville,Agnéby-Tiassa,1.38,2012
134,Adjoba Assé,29,Anyama,Abidjan,Lagunes,1.46,1997
135,Aya Dosso,98,Vavoua,Daloa,Sassandra-Marahoué,3.88,2001
136,Adjoba Soro,71,Abidjan,Abidjan,Lagunes,6.51,2014
137,Yao Dosso,27,Vavoua,Daloa,Sassandra-Marahoué,5.08,2015
138,Aminata N’Guessan,55,Oumé,Gagnoa,Fromager,1.14,2013
139,Cédric Koné,49,Divo,Gagnoa,Gôh-Djiboua,6.84,2002
140,Ismaël Traoré,79,Agboville,Agboville,Agnéby-Tiassa,1.51,1997
141,Didier Soro,79,Vavoua,Daloa,Sassandra-Marahoué,2.4,1990
142,Moussa Koné,48,Gagnoa,Gagnoa,Gôh-Djiboua,7.2,1990
143,Kouakou Traoré,10,Danané,Man,Montagnes,1.46,1992
144,Ibrahim Coulibaly,25,Soubré,San-Pédro,Bas-Sassandra,1.61,1992
145,Arnaud Yao,87,Oumé,Gagnoa,Fromager,0.57,1999
146,Kouakou Coulibaly,68,Ouragahio,Gagnoa,Fromager,3.35,2016
147,Yao Dosso,102,Divo,Gagnoa,Gôh-Djiboua,0.76,2019
148,Mariam Kouamé,112,Issia,Daloa,Sassandra-Marahoué,2.65,2009
149,Mariam N’Guessan,40,Ouragahio,Gagnoa,Fromager,1.39,2008
150,Aïcha N’Guessan,34,Agboville,Agboville,Agnéby-Tiassa,1.41,2007
151,Didier Dosso,4,Danané,Man,Montagnes,3.3,2017
152,Abdou N’Guessan,73,Tiassalé,Agboville,Agnéby-Tiassa,3.03,1991
153,Yao Koné,8,San-Pédro,San-Pédro,Bas-Sassandra,5.31,2005
154,Fatou Coulibaly,99,San-Pédro,San-Pédro,Bas-Sassandra,1.82,2005
155,Kouakou Bamba,61,Bingerville,Abidjan,Lagunes,2.19,2021
156,Aya Kouamé,1,Man,Man,Montagnes,1.12,2010
157,Yao N’Guessan,58,Vavoua,Daloa,Sassandra-Marahoué,5.02,1997
158,Aristide Kouamé,89,San-Pédro,San-Pédro,Bas-Sassandra,4.78,2017
159,Abdou Fofana,11,Tiassalé,Agboville,Agnéby-Tiassa,5.34,1996
160,Cédric Koné,58,Gagnoa,Gagnoa,Gôh-Djiboua,6.05,2000
161,Aminata Touré,106,Guiglo,Man,Montagnes,1.8,1992
162,Cédric Traoré,97,San-Pédro,San-Pédro,Bas-Sassandra,2.26,2010
163,Cédric Dosso,28,Lakota,Gagnoa,Gôh-Djiboua,6.69,2000
164,Abdou Yao,47,Lakota,Gagnoa,Gôh-Djiboua,3.49,2015
165,Arnaud Diabaté,1,Ouragahio,Gagnoa,Fromager,2.89,2007
166,Ibrahim Ouattara,48,Anyama,Abidjan,Lagunes,7.3,2017
167,Cédric Diabaté,94,Tiassalé,Agboville,Agnéby-Tiassa,4.84,1998
168,Aya Ouattara,29,Divo,Gagnoa,Gôh-Djiboua,3.5,2010
169,Aïcha Traoré,115,Toumodi,Yamoussoukro,Lacs,2.47,2004
170,Gaston N’Guessan,29,Sassandra,San-Pédro,Bas-Sassandra,0.64,2012
171,Arnaud Coulibaly,29,Soubré,San-Pédro,Bas-Sassandra,2.77,1991
172,Ibrahim Kouamé,70,Oumé,Gagnoa,Fromager,8.42,1999
173,Salimata Yao,96,Abidjan,Abidjan,Lagunes,1.73,2009
174,Salimata Kouassi,87,Anyama,Abidjan,Lagunes,2.44,1999
175,Yves Kouassi,100,Gagnoa,Gagnoa,Gôh-Djiboua,0.99,2019
176,Cédric Kacou,111,Toumodi,Yamoussoukro,Lacs,5.81,2009
177,Didier Kouassi,73,Sassandra,San-Pédro,Bas-Sassandra,5.97,1992
178,Fatou Kouamé,83,Sassandra,San-Pédro,Bas-Sassandra,2.25,2006
179,Aristide Touré,29,Vavoua,Daloa,Sassandra-Marahoué,4.52,1997
